Lever position,Ship speed,Gas Turbine (GT) shaft torque (GTT) ,GT rate of revolutions (GTn),Gas Generator rate of revolutions (GGn),Starboard Propeller Torque (Ts) ,Hight Pressure (HP) Turbine exit temperature (T48) ,GT Compressor outlet air temperature (T2) ,HP Turbine exit pressure (P48) ,GT Compressor outlet air pressure (P2),GT exhaust gas pressure (Pexh) ,Turbine Injecton Control (TIC) ,Fuel flow (mf),GT Compressor decay state coefficient,GT Turbine decay state coefficient
6.18,18,29800,2310,8830,246,797,676,2.5,13.3,1.03,35.5,0.704,0.95,0.978
7.15,21,39000,2680,9130,332,852,699,2.96,15.6,1.04,45.6,0.904,0.95,0.978
8.21,24,51000,3090,9320,438,949,741,3.57,18.6,1.04,62.1,1.23,0.95,0.978
9.3,27,72800,3560,9780,645,1110,789,4.49,22.7,1.05,92.2,1.83,0.95,0.978
1.14,3,1840,1400,6730,10.7,505,559,1.16,6.29,1.02,0,0.124,0.95,0.979
2.09,6,6850,1360,6830,26,632,580,1.32,7.22,1.02,16.6,0.288,0.95,0.979
3.14,9,8380,1390,7120,60.4,603,587,1.39,7.54,1.02,12.9,0.256,0.95,0.979
4.16,12,14700,1550,7800,114,658,613,1.66,8.97,1.02,17.9,0.355,0.95,0.979
5.14,15,21600,1920,8500,175,728,645,2.08,11.2,1.03,26.1,0.518,0.95,0.979
6.18,18,29800,2310,8830,246,796,675,2.5,13.3,1.03,35.5,0.702,0.95,0.979
7.15,21,39000,2680,9130,332,851,699,2.96,15.6,1.04,45.6,0.902,0.95,0.979
8.21,24,51000,3090,9320,438,948,741,3.57,18.5,1.04,62.1,1.23,0.95,0.979
9.3,27,72800,3560,9780,645,1110,789,4.49,22.7,1.05,92.1,1.82,0.95,0.979
1.14,3,2210,1410,6730,11.1,516,561,1.18,6.37,1.02,0,0.136,0.95,0.98
2.09,6,6840,1360,6830,26.1,631,580,1.32,7.21,1.02,16.2,0.287,0.95,0.98
3.14,9,8380,1390,7120,60.4,602,587,1.39,7.54,1.02,12.9,0.256,0.95,0.98
4.16,12,14700,1550,7800,114,657,613,1.66,8.96,1.02,17.9,0.354,0.95,0.98
5.14,15,21600,1920,8500,175,727,645,2.08,11.1,1.03,26.1,0.516,0.95,0.98
6.18,18,29800,2310,8830,246,795,675,2.5,13.3,1.03,35.4,0.701,0.95,0.98
7.15,21,39000,2680,9130,332,850,699,2.96,15.6,1.04,45.5,0.9,0.95,0.98
8.21,24,51000,3090,9320,438,947,741,3.57,18.5,1.04,62,1.23,0.95,0.98
9.3,27,72800,3560,9780,645,1110,788,4.49,22.7,1.05,92,1.82,0.95,0.98
1.14,3,2950,1420,6740,11.6,538,565,1.21,6.53,1.02,0,0.162,0.95,0.981
2.09,6,6800,1360,6840,25.9,629,580,1.32,7.2,1.02,16.7,0.286,0.95,0.981
3.14,9,8380,1390,7130,60.4,601,587,1.39,7.53,1.02,12.9,0.255,0.95,0.981
4.16,12,14700,1550,7800,114,656,613,1.66,8.95,1.02,17.9,0.353,0.95,0.981
5.14,15,21600,1920,8500,175,726,645,2.08,11.1,1.03,26,0.515,0.95,0.981
6.18,18,29800,2310,8830,246,794,675,2.5,13.3,1.03,35.3,0.699,0.95,0.981
7.15,21,39000,2680,9140,332,849,699,2.96,15.6,1.04,45.4,0.899,0.95,0.981
8.21,24,51000,3090,9320,438,946,741,3.57,18.5,1.04,61.9,1.23,0.95,0.981
9.3,27,72800,3560,9780,645,1110,788,4.49,22.6,1.05,91.9,1.82,0.95,0.981
1.14,3,3770,1420,6740,11.7,563,569,1.24,6.69,1.02,0,0.191,0.95,0.982
2.09,6,6610,1360,6840,25,625,579,1.32,7.16,1.02,18.9,0.282,0.95,0.982
3.14,9,8380,1390,7130,60.4,600,587,1.39,7.52,1.02,12.8,0.254,0.95,0.982
4.16,12,14700,1550,7810,114,655,613,1.66,8.94,1.02,17.8,0.353,0.95,0.982
5.14,15,21600,1920,8500,175,725,644,2.08,11.1,1.03,26,0.514,0.95,0.982
6.18,18,29800,2310,8840,246,793,675,2.5,13.3,1.03,35.2,0.698,0.95,0.982
7.15,21,39000,2680,9140,332,847,699,2.96,15.6,1.04,45.3,0.897,0.95,0.982
8.21,24,51000,3090,9320,438,945,741,3.57,18.5,1.04,61.8,1.22,0.95,0.982
9.3,27,72800,3560,9780,645,1110,788,4.49,22.6,1.05,91.8,1.82,0.95,0.982
1.14,3,4050,1420,6750,11.6,570,570,1.25,6.73,1.02,0,0.2,0.95,0.983
2.09,6,6560,1360,6840,24.9,623,579,1.31,7.14,1.02,19.1,0.28,0.95,0.983
3.14,9,8380,1390,7130,60.4,599,586,1.39,7.52,1.02,12.8,0.254,0.95,0.983
4.16,12,14700,1550,7810,114,654,613,1.66,8.93,1.02,17.8,0.352,0.95,0.983
5.14,15,21600,1920,8500,175,724,644,2.08,11.1,1.03,25.9,0.513,0.95,0.983
6.18,18,29800,2310,8840,246,791,675,2.5,13.2,1.03,35.2,0.696,0.95,0.983
7.15,21,39000,2680,9140,332,846,699,2.96,15.5,1.04,45.2,0.896,0.95,0.983
8.21,24,51000,3090,9320,438,944,740,3.57,18.5,1.04,61.7,1.22,0.95,0.983
9.3,27,72800,3560,9780,645,1110,788,4.49,22.6,1.05,91.7,1.82,0.95,0.983
1.14,3,5450,1410,6740,11,610,575,1.29,6.98,1.02,0,0.249,0.95,0.984
2.09,6,6490,1360,6840,24.6,620,578,1.31,7.12,1.02,19.5,0.278,0.95,0.984
3.14,9,8380,1390,7140,60.4,599,586,1.39,7.51,1.02,12.8,0.253,0.95,0.984
4.16,12,14700,1550,7810,114,653,612,1.66,8.93,1.02,17.7,0.351,0.95,0.984
5.14,15,21600,1920,8500,175,723,644,2.08,11.1,1.03,25.9,0.512,0.95,0.984
6.18,18,29800,2310,8840,246,790,674,2.5,13.2,1.03,35.1,0.695,0.95,0.984
7.15,21,39000,2680,9140,332,845,698,2.96,15.5,1.04,45.2,0.894,0.95,0.984
8.21,24,51000,3090,9320,438,943,740,3.57,18.4,1.04,61.6,1.22,0.95,0.984
9.3,27,72800,3560,9790,645,1110,788,4.49,22.6,1.05,91.6,1.81,0.95,0.984
1.14,3,6300,1400,6740,10.4,634,578,1.31,7.11,1.02,0,0.278,0.95,0.985
2.09,6,6420,1360,6840,24.5,618,578,1.31,7.1,1.02,20.3,0.276,0.95,0.985
3.14,9,8380,1390,7140,60.4,598,586,1.39,7.5,1.02,12.7,0.252,0.95,0.985
4.16,12,14700,1550,7810,114,653,612,1.66,8.92,1.02,17.7,0.35,0.95,0.985
5.14,15,21600,1920,8500,175,722,644,2.08,11.1,1.03,25.8,0.511,0.95,0.985
6.18,18,29800,2310,8840,246,789,674,2.5,13.2,1.03,35,0.694,0.95,0.985
7.15,21,39000,2680,9140,332,844,698,2.96,15.5,1.04,45.1,0.892,0.95,0.985
8.21,24,51000,3090,9320,438,942,740,3.57,18.4,1.04,61.5,1.22,0.95,0.985
9.3,27,72800,3560,9790,645,1110,788,4.49,22.5,1.05,91.5,1.81,0.95,0.985
1.14,3,7330,1370,6730,9.1,666,581,1.33,7.25,1.02,4.99,0.322,0.95,0.986
2.09,6,6310,1350,6840,24.2,615,577,1.31,7.07,1.02,20.7,0.272,0.95,0.986
3.14,9,8380,1390,7140,60.4,597,586,1.39,7.49,1.02,12.7,0.252,0.95,0.986
4.16,12,14700,1550,7810,114,652,612,1.66,8.91,1.02,17.6,0.349,0.95,0.986
5.14,15,21600,1920,8500,175,721,644,2.08,11.1,1.03,25.8,0.51,0.95,0.986
6.18,18,29800,2310,8840,246,788,674,2.5,13.2,1.03,35,0.692,0.95,0.986
7.15,21,39000,2680,9140,332,843,698,2.96,15.5,1.04,45,0.891,0.95,0.986
8.21,24,51000,3090,9320,438,941,740,3.57,18.4,1.04,61.4,1.22,0.95,0.986
9.3,27,72800,3560,9790,645,1110,788,4.48,22.5,1.05,91.4,1.81,0.95,0.986
1.14,3,7460,1360,6720,8.44,672,581,1.33,7.25,1.02,11.4,0.333,0.95,0.987
2.09,6,6090,1350,6840,23.7,609,576,1.3,7.03,1.02,21.6,0.266,0.95,0.987
3.14,9,8380,1390,7140,60.4,596,586,1.39,7.49,1.02,12.7,0.251,0.95,0.987
4.16,12,14700,1550,7820,114,651,612,1.66,8.9,1.02,17.6,0.348,0.95,0.987
5.14,15,21600,1920,8510,175,720,643,2.08,11.1,1.03,25.7,0.509,0.95,0.987
6.18,18,29800,2310,8840,246,787,674,2.5,13.2,1.03,34.9,0.691,0.95,0.987
7.15,21,39000,2680,9140,332,842,698,2.96,15.5,1.04,44.9,0.889,0.95,0.987
8.21,24,51000,3090,9320,438,940,740,3.57,18.4,1.04,61.3,1.21,0.95,0.987
9.3,27,72800,3560,9790,645,1110,787,4.48,22.5,1.05,91.3,1.81,0.95,0.987
1.14,3,6810,1330,6710,6.76,662,578,1.31,7.11,1.02,25.6,0.328,0.95,0.988
2.09,6,6170,1350,6850,23.9,610,576,1.3,7.04,1.02,21.3,0.267,0.95,0.988
3.14,9,8380,1390,7150,60.4,595,586,1.39,7.48,1.02,12.6,0.25,0.95,0.988
4.16,12,14700,1550,7820,114,650,612,1.66,8.89,1.02,17.6,0.348,0.95,0.988
5.14,15,21600,1920,8510,175,719,643,2.08,11,1.03,25.6,0.508,0.95,0.988
6.18,18,29800,2310,8840,246,786,673,2.5,13.2,1.03,34.8,0.689,0.95,0.988
7.15,21,39000,2680,9140,332,841,698,2.96,15.5,1.04,44.8,0.888,0.95,0.988
8.21,24,51000,3090,9320,438,939,740,3.57,18.4,1.04,61.2,1.21,0.95,0.988
9.3,27,72800,3560,9790,645,1100,787,4.48,22.5,1.05,91.2,1.81,0.95,0.988
1.14,3,4890,1310,6700,5.6,615,571,1.25,6.77,1.02,33.2,0.278,0.95,0.989
2.09,6,5860,1350,6850,23.4,601,575,1.29,6.98,1.02,22.2,0.258,0.95,0.989
3.14,9,8380,1390,7150,60.4,594,585,1.39,7.47,1.02,12.6,0.25,0.95,0.989
4.16,12,14700,1550,7820,114,649,612,1.66,8.88,1.02,17.5,0.347,0.95,0.989
5.14,15,21600,1920,8510,175,718,643,2.07,11,1.03,25.6,0.506,0.95,0.989
6.18,18,29800,2310,8840,246,785,673,2.5,13.2,1.03,34.7,0.688,0.95,0.989
7.15,21,39000,2680,9140,332,840,698,2.96,15.4,1.04,44.7,0.886,0.95,0.989
8.21,24,51000,3090,9320,438,938,740,3.56,18.3,1.04,61.1,1.21,0.95,0.989
9.3,27,72800,3560,9790,645,1100,787,4.48,22.4,1.05,91.1,1.8,0.95,0.989
1.14,3,3720,1310,6690,5.34,583,566,1.21,6.55,1.02,33.4,0.241,0.95,0.99
2.09,6,5610,1350,6850,23,594,574,1.28,6.93,1.02,23,0.25,0.95,0.99
3.14,9,8380,1390,7150,60.4,594,585,1.39,7.46,1.02,12.6,0.249,0.95,0.99
4.16,12,14700,1550,7820,114,648,611,1.65,8.87,1.02,17.5,0.346,0.95,0.99
5.14,15,21600,1920,8510,175,717,643,2.07,11,1.03,25.5,0.505,0.95,0.99
6.18,18,29800,2310,8840,246,784,673,2.5,13.2,1.03,34.7,0.687,0.95,0.99
7.15,21,39000,2680,9140,332,839,697,2.95,15.4,1.04,44.7,0.884,0.95,0.99
8.21,24,51000,3090,9320,438,937,739,3.56,18.3,1.04,61,1.21,0.95,0.99
9.3,27,72800,3560,9790,645,1100,787,4.48,22.4,1.05,91,1.8,0.95,0.99
1.14,3,2640,1310,6690,5.3,551,561,1.18,6.35,1.02,32.6,0.204,0.95,0.991
2.09,6,5610,1350,6850,23,594,574,1.28,6.92,1.02,22.8,0.25,0.95,0.991
3.14,9,8380,1390,7150,60.4,593,585,1.39,7.46,1.02,12.5,0.248,0.95,0.991
4.16,12,14700,1550,7830,114,647,611,1.65,8.86,1.02,17.4,0.345,0.95,0.991
5.14,15,21600,1920,8510,175,716,643,2.07,11,1.03,25.5,0.504,0.95,0.991
6.18,18,29800,2310,8840,246,783,673,2.5,13.1,1.03,34.6,0.685,0.95,0.991
7.15,21,39000,2680,9140,332,838,697,2.95,15.4,1.04,44.6,0.883,0.95,0.991
8.21,24,51000,3090,9320,438,936,739,3.56,18.3,1.04,60.9,1.21,0.95,0.991
9.3,27,72800,3560,9790,645,1100,787,4.48,22.4,1.05,90.9,1.8,0.95,0.991
1.14,3,1750,1310,6700,5.45,522,556,1.15,6.17,1.02,29.3,0.168,0.95,0.992
2.09,6,5260,1350,6850,22.7,584,572,1.27,6.85,1.02,23.2,0.239,0.95,0.992
3.14,9,8380,1390,7160,60.4,592,585,1.39,7.45,1.02,12.5,0.248,0.95,0.992
4.16,12,14700,1550,7830,114,646,611,1.65,8.85,1.02,17.4,0.344,0.95,0.992
5.14,15,21600,1920,8510,175,715,643,2.07,11,1.03,25.4,0.503,0.95,0.992
6.18,18,29800,2310,8850,246,782,673,2.5,13.1,1.03,34.5,0.684,0.95,0.992
7.15,21,39000,2680,9140,332,837,697,2.95,15.4,1.04,44.5,0.881,0.95,0.992
8.21,24,51000,3090,9320,438,935,739,3.56,18.3,1.04,60.8,1.2,0.95,0.992
9.3,27,72800,3560,9790,645,1100,787,4.48,22.4,1.05,90.8,1.8,0.95,0.992
1.14,3,531,1320,6710,6.18,474,550,1.1,5.92,1.02,19.4,0.108,0.95,0.993
2.09,6,5300,1350,6860,22.7,584,572,1.27,6.85,1.02,22.9,0.239,0.95,0.993
3.14,9,8380,1390,7160,60.4,591,585,1.39,7.44,1.02,12.5,0.247,0.95,0.993
4.16,12,14700,1550,7830,114,646,611,1.65,8.85,1.02,17.3,0.343,0.95,0.993
5.14,15,21600,1920,8510,175,714,642,2.07,11,1.03,25.4,0.502,0.95,0.993
6.18,18,29800,2310,8850,246,781,672,2.5,13.1,1.03,34.5,0.682,0.95,0.993
7.15,21,39000,2680,9140,332,836,697,2.95,15.4,1.04,44.4,0.88,0.95,0.993
8.21,24,51000,3090,9330,438,934,739,3.56,18.3,1.04,60.7,1.2,0.95,0.993
9.3,27,72800,3560,9790,645,1100,787,4.48,22.3,1.05,90.7,1.8,0.95,0.993
1.14,3,306,1330,6710,6.62,461,548,1.09,5.85,1.02,14.8,0.089,0.95,0.994
2.09,6,5180,1350,6860,22.6,580,572,1.27,6.82,1.02,23.2,0.235,0.95,0.994
3.14,9,8380,1390,7160,60.4,590,585,1.39,7.44,1.02,12.4,0.246,0.95,0.994
4.16,12,14700,1550,7830,114,645,611,1.65,8.84,1.02,17.3,0.343,0.95,0.994
5.14,15,21600,1920,8510,175,713,642,2.07,11,1.03,25.3,0.501,0.95,0.994
6.18,18,29800,2310,8850,246,779,672,2.5,13.1,1.03,34.4,0.681,0.95,0.994
7.15,21,39000,2680,9140,332,835,697,2.95,15.4,1.04,44.3,0.878,0.95,0.994
8.21,24,51000,3090,9330,438,933,739,3.56,18.2,1.04,60.6,1.2,0.95,0.994
9.3,27,72800,3560,9790,645,1100,786,4.47,22.3,1.05,90.6,1.79,0.95,0.994
1.14,3,314,1350,6730,7.55,451,548,1.1,5.84,1.02,4.57,0.071,0.95,0.995
2.09,6,5230,1350,6860,22.7,581,572,1.27,6.83,1.02,23.2,0.236,0.95,0.995
3.14,9,8380,1390,7160,60.4,590,585,1.39,7.43,1.02,12.4,0.246,0.95,0.995
4.16,12,14700,1550,7830,114,644,611,1.65,8.83,1.02,17.3,0.342,0.95,0.995
5.14,15,21600,1920,8510,175,712,642,2.07,11,1.03,25.3,0.5,0.95,0.995
6.18,18,29800,2310,8850,246,778,672,2.49,13.1,1.03,34.3,0.68,0.95,0.995
7.15,21,39000,2680,9140,332,834,697,2.95,15.3,1.04,44.3,0.877,0.95,0.995
8.21,24,51000,3090,9330,438,932,739,3.56,18.2,1.04,60.5,1.2,0.95,0.995
9.3,27,72800,3560,9790,645,1100,786,4.47,22.3,1.05,90.5,1.79,0.95,0.995
1.14,3,497,1360,6740,8.11,455,549,1.1,5.88,1.02,0,0.072,0.95,0.996
2.09,6,4830,1340,6860,22.4,569,570,1.26,6.75,1.02,23.2,0.222,0.95,0.996
3.14,9,8380,1390,7170,60.4,589,584,1.39,7.42,1.02,12.4,0.245,0.95,0.996
4.16,12,14700,1550,7840,114,643,610,1.65,8.82,1.02,17.2,0.341,0.95,0.996
5.14,15,21600,1920,8510,175,711,642,2.07,11,1.03,25.2,0.499,0.95,0.996
6.18,18,29800,2310,8850,246,777,672,2.49,13.1,1.03,34.3,0.678,0.95,0.996
7.15,21,39000,2680,9140,332,833,696,2.95,15.3,1.04,44.2,0.875,0.95,0.996
8.21,24,51000,3090,9330,438,931,738,3.56,18.2,1.04,60.4,1.2,0.95,0.996
9.3,27,72800,3560,9790,645,1100,786,4.47,22.2,1.05,90.4,1.79,0.95,0.996
1.14,3,788,1370,6750,8.84,462,550,1.12,5.95,1.02,0,0.081,0.95,0.997
2.09,6,4800,1340,6870,22.5,567,570,1.26,6.74,1.02,23.1,0.221,0.95,0.997
3.14,9,8380,1390,7170,60.4,588,584,1.39,7.42,1.02,12.3,0.244,0.95,0.997
4.16,12,14700,1550,7840,114,642,610,1.65,8.81,1.02,17.2,0.34,0.95,0.997
5.14,15,21600,1920,8510,175,710,642,2.07,10.9,1.03,25.1,0.498,0.95,0.997
6.18,18,29800,2310,8850,246,776,672,2.49,13.1,1.03,34.2,0.677,0.95,0.997
7.15,21,39000,2680,9140,332,832,696,2.95,15.3,1.04,44.1,0.873,0.95,0.997
8.21,24,51000,3090,9330,438,930,738,3.56,18.2,1.04,60.3,1.19,0.95,0.997
9.3,27,72800,3560,9800,645,1100,786,4.47,22.2,1.05,90.3,1.79,0.95,0.997
1.14,3,874,1380,6750,9.02,464,551,1.12,5.96,1.02,0,0.083,0.95,0.998
2.09,6,4770,1340,6870,22.4,566,569,1.26,6.73,1.02,23.1,0.219,0.95,0.998
3.14,9,8380,1390,7170,60.4,587,584,1.39,7.41,1.02,12.3,0.244,0.95,0.998
4.16,12,14700,1550,7840,114,641,610,1.65,8.8,1.02,17.1,0.339,0.95,0.998
5.14,15,21600,1920,8520,175,709,641,2.07,10.9,1.03,25.1,0.497,0.95,0.998
6.18,18,29800,2310,8850,246,775,671,2.49,13,1.03,34.1,0.675,0.95,0.998
7.15,21,39000,2680,9140,332,831,696,2.95,15.3,1.04,44,0.872,0.95,0.998
8.21,24,51000,3090,9330,438,929,738,3.56,18.1,1.04,60.2,1.19,0.95,0.998
9.3,27,72800,3560,9800,645,1100,786,4.47,22.2,1.05,90.2,1.79,0.95,0.998
1.14,3,937,1380,6760,9.15,465,551,1.12,5.97,1.02,0,0.085,0.95,0.999
2.09,6,4440,1340,6870,22.4,556,568,1.25,6.66,1.02,22.7,0.207,0.95,0.999
3.14,9,8380,1390,7170,60.4,586,584,1.39,7.4,1.02,12.3,0.243,0.95,0.999
4.16,12,14700,1550,7840,114,640,610,1.65,8.79,1.02,17.1,0.338,0.95,0.999
5.14,15,21600,1920,8520,175,708,641,2.07,10.9,1.03,25,0.496,0.95,0.999
6.18,18,29800,2310,8850,246,774,671,2.49,13,1.03,34,0.674,0.95,0.999
7.15,21,39000,2680,9140,332,830,696,2.95,15.3,1.04,44,0.87,0.95,0.999
8.21,24,51000,3090,9330,438,928,738,3.56,18.1,1.04,60.1,1.19,0.95,0.999
9.3,27,72800,3560,9800,645,1090,786,4.47,22.2,1.05,90.1,1.78,0.95,0.999
1.14,3,1110,1380,6760,9.52,470,552,1.13,6,1.02,0,0.09,0.95,1
2.09,6,4180,1340,6870,22.5,548,567,1.24,6.61,1.02,22.4,0.197,0.95,1
3.14,9,8380,1390,7180,60.4,586,584,1.39,7.39,1.02,12.2,0.242,0.95,1
4.16,12,14700,1550,7840,114,640,610,1.65,8.78,1.02,17.1,0.338,0.95,1
5.14,15,21600,1920,8520,175,707,641,2.07,10.9,1.03,25,0.495,0.95,1
6.18,18,29800,2310,8850,246,773,671,2.49,13,1.03,34,0.673,0.95,1
7.15,21,39000,2680,9150,332,829,696,2.95,15.3,1.04,43.9,0.869,0.95,1
8.21,24,51000,3090,9330,438,927,738,3.55,18.1,1.04,60.1,1.19,0.95,1
9.3,27,72800,3560,9800,645,1090,786,4.47,22.1,1.05,90,1.78,0.95,1
1.14,3,396,1330,6660,6.59,478,551,1.1,5.98,1.02,17.2,0.105,0.951,0.975
2.09,6,6960,1380,6830,28,635,581,1.33,7.28,1.02,11.3,0.287,0.951,0.975
3.14,9,8380,1390,7110,60.4,606,587,1.39,7.58,1.02,13.1,0.259,0.951,0.975
4.16,12,14700,1550,7790,114,661,614,1.66,9.01,1.02,18.1,0.358,0.951,0.975
5.14,15,21600,1920,8490,175,731,645,2.08,11.2,1.03,26.3,0.522,0.951,0.975
6.18,18,29800,2310,8830,246,800,676,2.5,13.4,1.03,35.7,0.707,0.951,0.975
7.15,21,39000,2680,9130,332,854,700,2.96,15.7,1.04,45.8,0.908,0.951,0.975
8.21,24,51000,3090,9320,438,951,741,3.58,18.6,1.04,62.4,1.24,0.951,0.975
9.3,27,72800,3560,9780,645,1110,789,4.5,22.8,1.05,92.5,1.83,0.951,0.975
1.14,3,414,1360,6680,8.01,464,551,1.1,5.97,1.02,2.85,0.079,0.951,0.976
2.09,6,6910,1370,6820,26.6,635,581,1.33,7.26,1.02,15.2,0.29,0.951,0.976
3.14,9,8380,1390,7110,60.4,605,587,1.39,7.57,1.02,13,0.258,0.951,0.976
4.16,12,14700,1550,7790,114,660,613,1.66,9,1.02,18,0.357,0.951,0.976
5.14,15,21600,1920,8490,175,730,645,2.08,11.2,1.03,26.3,0.52,0.951,0.976
6.18,18,29800,2310,8830,246,799,676,2.5,13.3,1.03,35.7,0.706,0.951,0.976
7.15,21,39000,2680,9130,332,853,699,2.96,15.7,1.04,45.8,0.906,0.951,0.976
8.21,24,51000,3090,9320,438,950,741,3.58,18.6,1.04,62.3,1.23,0.951,0.976
9.3,27,72800,3560,9780,645,1110,789,4.5,22.8,1.05,92.4,1.83,0.951,0.976
1.14,3,658,1370,6690,8.62,470,552,1.11,6.03,1.02,0,0.085,0.951,0.977
2.09,6,6840,1360,6820,26,633,580,1.32,7.24,1.02,16.9,0.289,0.951,0.977
3.14,9,8380,1390,7110,60.4,604,587,1.39,7.56,1.02,13,0.257,0.951,0.977
4.16,12,14700,1550,7790,114,659,613,1.66,8.99,1.02,18,0.356,0.951,0.977
5.14,15,21600,1920,8500,175,729,645,2.08,11.2,1.03,26.2,0.519,0.951,0.977
6.18,18,29800,2310,8830,246,798,676,2.5,13.3,1.03,35.6,0.705,0.951,0.977
7.15,21,39000,2680,9130,332,852,699,2.96,15.6,1.04,45.7,0.904,0.951,0.977
8.21,24,51000,3090,9320,438,949,741,3.58,18.6,1.04,62.2,1.23,0.951,0.977
9.3,27,72800,3560,9780,645,1110,788,4.5,22.8,1.05,92.3,1.83,0.951,0.977
1.14,3,1360,1390,6710,10.1,491,557,1.14,6.19,1.02,0,0.108,0.951,0.978
2.09,6,6810,1360,6830,25.9,632,580,1.32,7.22,1.02,16.8,0.288,0.951,0.978
3.14,9,8380,1390,7120,60.4,603,587,1.39,7.55,1.02,13,0.257,0.951,0.978
4.16,12,14700,1550,7800,114,658,613,1.66,8.98,1.02,18,0.356,0.951,0.978
5.14,15,21600,1920,8500,175,728,645,2.08,11.2,1.03,26.2,0.518,0.951,0.978
6.18,18,29800,2310,8830,246,796,675,2.5,13.3,1.03,35.5,0.703,0.951,0.978
7.15,21,39000,2680,9130,332,851,699,2.96,15.6,1.04,45.6,0.903,0.951,0.978
8.21,24,51000,3090,9320,438,948,741,3.57,18.6,1.04,62.1,1.23,0.951,0.978
9.3,27,72800,3560,9780,645,1110,788,4.5,22.7,1.05,92.2,1.82,0.951,0.978
1.14,3,1550,1400,6720,10.3,496,557,1.15,6.23,1.02,0,0.114,0.951,0.979
2.09,6,6800,1360,6830,25.8,631,580,1.32,7.21,1.02,17.1,0.287,0.951,0.979
3.14,9,8380,1390,7120,60.4,602,587,1.39,7.55,1.02,12.9,0.256,0.951,0.979
4.16,12,14700,1550,7800,114,657,613,1.66,8.97,1.02,17.9,0.355,0.951,0.979
5.14,15,21600,1920,8500,175,727,645,2.08,11.2,1.03,26.1,0.517,0.951,0.979
